file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\jobs\ITaskInfo.java,jadx.gui.jobs.ITaskInfo,interface,1,9,8,1,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\ui\dialog\CommentDialog.java,jadx.gui.ui.dialog.CommentDialog$Anonymous1,anonymous,1,1,0,1,5,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,2,0,0,0,7,-1,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\enums\TestEnumsWithAssert.java,jadx.tests.integration.enums.TestEnumsWithAssert,class,4,4,0,4,2,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,6,0,0,0,0,0,0,1,0,21,1,0
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\cache\usage\UsageFileAdapter.java,jadx.gui.cache.usage.UsageFileAdapter,class,14,16,2,14,39,2,0,84,34,0.77777785,1.0,1.0,9,9,2,7,0,0,2,0,0,2,3,3,0,3,0,0,3,0,50,202,13,16,4,4,0,10,16,59,4,58,2,0,0,3,86,1,7
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\names\TestDuplicateVarNames.java,jadx.tests.integration.names.TestDuplicateVarNames$TestCls,innerclass,3,3,0,3,2,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,1,0,1,0,1,0,2,1,0,9,9,0
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\settings\TabStateViewAdapter.java,jadx.gui.settings.TabStateViewAdapter,class,15,17,2,15,16,1,0,37,4,0.5,1.0,1.0,4,4,2,2,0,0,2,0,0,0,1,1,0,1,0,0,1,0,2,70,15,0,2,1,1,13,0,6,2,8,2,0,0,2,35,1,2
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\ui\panel\JDebuggerPanel.java,jadx.gui.ui.panel.JDebuggerPanel$Anonymous11,anonymous,0,0,0,0,4,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,28,1,0,0,0,0,3,0,2,0,1,3,0,0,1,8,-1,0
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\utils\JumpManager.java,jadx.gui.utils.JumpManager,class,3,6,3,3,18,1,0,8,0,0.1875,1.0,1.0,8,0,6,2,0,0,6,0,0,0,2,0,0,2,0,0,1,0,0,69,12,1,4,0,0,0,10,13,4,8,2,0,0,0,22,1,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\core\dex\attributes\nodes\EnumClassAttr.java,jadx.core.dex.attributes.nodes.EnumClassAttr,class,5,9,4,5,6,1,0,0,7,0.5833334,0.26666668,0.26666668,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,1,0,0,46,4,0,0,0,0,1,0,2,1,2,0,0,1,0,17,1,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\inner\TestNestedAnonymousClass.java,jadx.tests.integration.inner.TestNestedAnonymousClass$TestCls$Anonymous1$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,0
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\ui\panel\JDebuggerPanel.java,jadx.gui.ui.panel.JDebuggerPanel$Anonymous12,anonymous,3,3,0,3,8,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,3,0,0,0,0,0,0,0,2,0,0,0,8,-1,0
C:\Work\Java\Bhavani\jadx\jadx-plugins\jadx-java-input\src\main\java\jadx\plugins\input\java\data\code\JavaCodeReader.java,jadx.plugins.input.java.data.code.JavaCodeReader,class,26,28,2,26,33,1,0,69,0,0.53846157,0.4722222,0.5833333,13,1,9,4,0,0,9,0,0,0,3,0,0,3,0,0,3,0,9,174,14,6,12,0,0,1,18,53,7,51,4,0,0,4,90,1,0
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\device\protocol\ADB.java,jadx.gui.device.protocol.ADB,class,6,11,5,6,69,1,0,54,178,0.92857134,0.057142857,0.057142857,20,20,10,5,0,5,15,0,0,0,7,7,0,7,0,0,7,0,43,313,33,4,8,7,11,27,32,58,13,46,5,0,4,1,144,1,6
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\others\TestStringBuilderElimination2.java,jadx.tests.integration.others.TestStringBuilderElimination2$TestClsChainWithDelete,innerclass,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,2,0,0,0,0,0,0,0,8,9,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\rename\TestAnonymousInline.java,jadx.tests.integration.rename.TestAnonymousInline,class,4,4,0,4,1,2,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,3,0,1,0,1,0,0,1,0,12,1,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\arith\TestSpecialValues2.java,jadx.tests.integration.arith.TestSpecialValues2$TestCls,innerclass,0,0,0,0,1,1,0,1,0,0.0,-1.0,-1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,6,9,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\test\java\jadx\tests\integration\variables\TestVariablesDefinitions.java,jadx.tests.integration.variables.TestVariablesDefinitions,class,4,4,0,4,1,2,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,3,1,2,1,2,0,0,1,0,20,1,0
C:\Work\Java\Bhavani\jadx\jadx-plugins\jadx-dex-input\src\main\java\jadx\plugins\input\dex\sections\DexMethodProto.java,jadx.plugins.input.dex.sections.DexMethodProto,class,1,3,2,1,8,1,0,7,0,0.16666667,0.93333334,1.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,0,30,7,0,1,0,1,2,1,3,3,3,1,0,0,0,21,1,0
C:\Work\Java\Bhavani\jadx\jadx-core\src\main\java\jadx\api\metadata\annotations\NodeEnd.java,jadx.api.metadata.annotations.NodeEnd,class,3,4,1,3,3,1,0,0,3,1.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,11,2,0,0,0,0,1,0,1,0,1,0,0,0,0,15,1,0
C:\Work\Java\Bhavani\jadx\jadx-plugins\jadx-java-input\src\main\java\jadx\plugins\input\java\JavaLoadResult.java,jadx.plugins.input.java.JavaLoadResult,class,6,8,2,6,8,1,0,7,0,0.53333336,0.7,1.0,5,0,5,0,0,0,5,0,0,0,3,1,0,3,0,0,3,0,0,30,1,1,1,1,0,1,0,3,1,3,2,0,0,0,28,1,1
C:\Work\Java\Bhavani\jadx\jadx-gui\src\main\java\jadx\gui\utils\rx\DebounceUpdate.java,jadx.gui.utils.rx.DebounceUpdate,class,3,3,0,3,3,1,0,6,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,1,0,0,14,0,0,0,0,0,0,0,3,0,5,0,0,0,2,11,1,0
C:\Work\Java\Bhavani\jadx\jadx-plugins\jadx-java-input\src\main\java\jadx\plugins\input\java\data\code\JavaInsnData.java,jadx.plugins.input.java.data.code.JavaInsnData,class,20,29,9,20,51,1,0,29,737,0.91938,0.090808414,0.52048725,43,0,43,0,0,0,43,0,0,0,15,0,0,15,0,0,1,0,3,186,27,1,5,1,0,5,5,25,1,22,4,0,0,0,75,1,0
